province,gender,n
Newfoundland and Labrador,Males,257955
Newfoundland and Labrador,Females,264148
Prince Edward Island,Males,78508
Prince Edward Island,Females,81117
Nova Scotia,Males,479392
Nova Scotia,Females,499959
New Brunswick,Males,386847
New Brunswick,Females,394629
Quebec,Males,4286875
Quebec,Females,4287696
Ontario,Males,7279448
Ontario,Females,7454566
Manitoba,Males,688624
Manitoba,Females,690639
Saskatchewan,Males,593693
Saskatchewan,Females,584988
Alberta,Males,2223432
Alberta,Females,2198444
British Columbia,Males,2545728
British Columbia,Females,2601984
Yukon,Males,21387
Yukon,Females,20665
Northwest Territories,Males,23231
Northwest Territories,Females,21930
Nunavut,Males,20141
Nunavut,Females,19212
